Date_Time,Subject,Day_In_Week,Hours,Call_Started_Time,time_For_Wating_After_Voice_Mail,Answer_Time_From_,Representative_response_time_in_secounds,total_Time_Till_Response,Summery_Of_Call,Is_Was_a_Long_Wating_Time_Message,Other_Languages
2016-01-05 12:25:00,Life,3,11:01-14:00,12:25:47,12:25:47,12:26:05,18,18,Full reply received,No,No Foreign languages
2016-01-05 12:29:00,Life,3,11:01-14:00,12:28:38,12:29:54,12:30:15,97,21,Full reply received,No,No Foreign languages
2016-01-05 12:30:00,General,3,11:01-14:00,12:30:57,12:30:57,12:31:07,10,10,Full reply received,No,No Foreign languages
2016-01-05 13:03:00,Life,3,11:01-14:00,12:31:58,12:32:54,12:42:54,656,600,Waited for more than 10 minutes and hang up,Yes,No Foreign languages
2016-01-05 13:14:00,Life,3,11:01-14:00,13:04:49,13:05:41,13:15:14,625,573,Full reply received,Yes,No Foreign languages
2016-01-05 13:15:00,General,3,11:01-14:00,13:16:11,13:16:11,13:16:23,12,12,Full reply received,No,No Foreign languages
2016-01-05 13:18:00,General,3,11:01-14:00,13:17:07,13:17:07,13:19:05,118,118,Full reply received,No,No Foreign languages
2016-01-05 13:23:00,Health,3,11:01-14:00,13:20:00,13:20:50,13:23:37,217,167,Full reply received,No,Arabic; Russian; Amharic
2016-01-05 13:25:00,Health,3,11:01-14:00,13:24:36,13:24:36,13:25:25,49,49,Full reply received,No,No Foreign languages
2016-01-05 13:29:00,General,3,11:01-14:00,13:26:29,13:27:39,13:30:07,218,148,Full reply received,No,No Foreign languages
2016-01-05 13:32:00,Life,3,11:01-14:00,13:31:24,13:32:31,13:32:47,83,16,Full reply received,No,No Foreign languages
2016-01-05 13:44:00,Health,3,11:01-14:00,13:33:28,13:34:28,13:45:13,705,645,Transferred to leave a message ,No,No Foreign languages
2016-01-06 08:07:00,Life,4,8:00-11:00,08:06:36,08:06:46,08:08:10,94,84,Full reply received,No,Arabic; Russian; Amharic;English
2016-01-06 08:10:00,General,4,8:00-11:00,08:09:57,08:10:11,08:11:13,76,62,Full reply received,No,Arabic; Russian; Amharic;English
2016-01-06 08:11:00,Life,4,8:00-11:00,08:11:45,08:12:12,08:12:22,37,10,Full reply received,No,No Foreign languages
2016-01-06 08:14:00,General,4,8:00-11:00,08:13:18,08:13:55,08:14:18,60,23,Full reply received,No,No Foreign languages
2016-01-06 08:17:00,Health,4,8:00-11:00,08:15:37,08:16:39,08:17:58,141,79,Full reply received,No,No Foreign languages
2016-01-06 08:18:00,General,4,8:00-11:00,08:18:29,08:18:41,08:18:59,30,18,Full reply received,No,No Foreign languages
2016-01-06 08:20:00,General,4,8:00-11:00,08:19:57,08:20:33,08:20:41,44,8,Full reply received,No,No Foreign languages
2016-01-06 08:22:00,General,4,8:00-11:00,08:22:29,08:22:29,08:22:53,24,24,Full reply received,No,No Foreign languages
2016-01-06 08:24:00,Life,4,8:00-11:00,08:24:07,08:24:42,08:24:54,47,12,Full reply received,No,No Foreign languages
2016-01-06 08:25:00,General,4,8:00-11:00,08:25:37,08:25:42,08:25:53,16,11,Full reply received,No,No Foreign languages
2016-01-06 08:29:00,Health,4,8:00-11:00,08:28:04,08:28:06,08:29:24,80,78,Full reply received,No,No Foreign languages
2016-01-06 08:33:00,Life,4,8:00-11:00,08:30:50,08:31:03,08:33:47,177,164,Full reply received,Yes,Arabic; Russian; Amharic;English
2016-01-06 08:36:00,General,4,8:00-11:00,08:34:22,08:35:00,08:35:26,64,26,Full reply received,No,No Foreign languages
2016-01-06 08:43:00,Health,4,8:00-11:00,08:38:17,08:39:18,08:43:56,339,278,Full reply received,No,No Foreign languages
2016-01-06 08:45:00,Life,4,8:00-11:00,08:44:28,08:44:49,08:45:04,36,15,Full reply received,No,No Foreign languages
2016-01-06 08:54:00,General,4,8:00-11:00,08:46:37,08:47:54,08:55:21,524,447,Full reply received,No,No Foreign languages
2016-01-06 08:55:00,General,4,8:00-11:00,08:55:56,08:56:01,08:56:08,12,7,Full reply received,No,No Foreign languages
2016-01-06 08:59:00,General,4,8:00-11:00,08:57:11,08:57:53,09:00:06,175,133,Full reply received,No,No Foreign languages
2016-01-06 09:01:00,Life,4,8:00-11:00,09:00:35,09:01:41,09:02:05,90,24,Full reply received,No,No Foreign languages
2016-01-06 09:03:00,Life,4,8:00-11:00,09:02:57,09:03:43,09:04:45,108,62,Full reply received,No,Arabic; Russian; Amharic
2016-01-06 09:07:00,General,4,8:00-11:00,09:05:20,09:05:50,09:08:18,178,148,Full reply received,No,No Foreign languages
2016-01-06 09:11:00,Life,4,8:00-11:00,09:08:48,09:09:45,09:12:41,233,176,Full reply received,No,No Foreign languages
2016-01-06 09:13:00,Life,4,8:00-11:00,09:13:12,09:13:54,09:14:16,64,22,Full reply received,No,No Foreign languages
2016-01-06 09:14:00,Health,4,8:00-11:00,09:14:47,09:15:16,09:15:36,49,20,Full reply received,No,No Foreign languages
2016-01-06 09:20:00,General,4,8:00-11:00,09:18:33,09:19:03,09:21:49,196,166,Full reply received,No,No Foreign languages
2016-01-06 09:23:00,General,4,8:00-11:00,09:22:19,09:23:26,09:23:56,97,30,Full reply received,No,Arabic; Russian; Amharic
2016-01-06 09:28:00,General,4,8:00-11:00,09:24:24,09:26:01,09:29:47,323,226,Full reply received,No,No Foreign languages
2016-01-06 09:36:00,General,4,8:00-11:00,09:30:18,09:31:16,09:37:13,415,357,Full reply received,No,No Foreign languages
2016-01-06 09:41:00,General,4,8:00-11:00,09:37:50,09:39:49,09:42:31,281,162,Full reply received,Yes,No Foreign languages
2016-01-06 09:46:00,Life,4,8:00-11:00,09:42:58,09:43:10,09:47:13,255,243,Full reply received,Yes,No Foreign languages
2016-01-06 09:48:00,General,4,8:00-11:00,09:47:44,09:48:49,09:49:08,84,19,Full reply received,No,No Foreign languages
2016-01-06 09:52:00,General,4,8:00-11:00,09:49:45,09:51:29,09:53:28,223,119,Full reply received,No,No Foreign languages
2016-01-06 10:05:00,Life,4,8:00-11:00,10:00:26,10:01:25,10:06:48,382,323,Full reply received,No,No Foreign languages
2016-01-06 10:07:00,Health,4,8:00-11:00,10:07:18,10:07:30,10:08:30,72,60,Full reply received,No,No Foreign languages
2016-01-06 10:09:00,Life,4,8:00-11:00,10:09:07,10:10:19,10:10:43,96,24,Full reply received,No,No Foreign languages
2016-01-06 10:11:00,General,4,8:00-11:00,10:11:10,10:11:31,10:11:51,41,20,Full reply received,No,No Foreign languages
2016-01-06 10:15:00,Life,4,8:00-11:00,10:12:28,10:13:15,10:16:07,219,172,Full reply received,No,No Foreign languages
2016-01-06 10:16:00,Health,4,8:00-11:00,10:16:35,10:17:15,10:17:26,51,11,Full reply received,No,No Foreign languages
2016-01-06 10:18:00,General,4,8:00-11:00,10:18:03,10:18:39,10:18:51,48,12,Full reply received,No,No Foreign languages
2016-01-06 10:19:00,Health,4,8:00-11:00,10:19:28,10:19:55,10:20:01,33,6,Full reply received,No,No Foreign languages
2016-01-06 10:21:00,General,4,8:00-11:00,10:20:48,10:21:43,10:22:27,99,44,Full reply received,No,No Foreign languages
2016-01-06 10:24:00,General,4,8:00-11:00,10:23:42,10:24:20,10:25:13,91,53,Full reply received,No,No Foreign languages
2016-01-06 10:27:00,Health,4,8:00-11:00,10:25:51,10:27:11,10:28:21,150,70,Full reply received,No,No Foreign languages
2016-01-06 10:29:00,Health,4,8:00-11:00,10:29:03,10:29:55,10:30:14,71,19,Full reply received,No,No Foreign languages
2016-01-06 10:30:00,General,4,8:00-11:00,10:30:42,10:31:09,10:31:27,45,18,Full reply received,No,No Foreign languages
2016-01-06 10:37:00,General,4,8:00-11:00,10:37:27,10:38:18,10:38:59,92,41,I was obliged to leave a message,No,No foreign languages
2016-01-06 10:53:00,Life,4,8:00-11:00,10:48:04,10:49:01,10:54:09,365,308,Full reply received,No,No Foreign languages
2016-01-06 10:59:00,General,4,8:00-11:00,10:59:20,11:00:00,11:00:10,50,10,Full reply received,No,No Foreign languages
2016-01-06 11:01:00,Health,4,11:01-14:00,11:01:10,11:01:53,11:02:32,82,39,Full reply received,No,No Foreign languages
2016-01-06 11:04:00,General,4,8:00-11:00,11:03:00,11:03:54,11:04:55,115,61,Full reply received,No,No Foreign languages
2016-01-06 11:10:00,Health,4,11:01-14:00,11:05:36,11:05:46,11:11:09,333,323,Full reply received,No,No Foreign languages
2016-01-06 11:17:00,Health,4,11:01-14:00,11:17:11,11:17:22,11:18:09,58,47,Full reply received,No,No Foreign languages
2016-01-06 11:24:00,Health,4,11:01-14:00,11:23:53,11:24:56,11:25:31,98,35,Full reply received,No,No Foreign languages
2016-01-06 11:31:00,General,4,11:01-14:00,11:25:57,11:26:55,11:32:07,370,312,Full reply received,No,No Foreign languages
2016-01-06 11:32:00,General,4,11:01-14:00,11:32:41,11:33:20,11:33:28,47,8,Full reply received,No,No Foreign languages
2016-01-06 11:36:00,General,4,11:01-14:00,11:34:05,11:34:31,11:37:31,206,180,Full reply received,No,No Foreign languages
2016-01-06 11:37:00,General,4,11:01-14:00,11:38:09,11:38:09,11:38:37,28,28,Full reply received,No,No Foreign languages
2016-01-06 11:39:00,Life,4,11:01-14:00,11:39:13,11:39:47,11:40:11,58,24,Full reply received,No,No Foreign languages
2016-01-06 11:42:00,Health,4,11:01-14:00,11:40:40,11:42:08,11:42:52,132,44,Full reply received,No,No Foreign languages
2016-01-06 11:43:00,General,4,11:01-14:00,11:43:24,11:43:44,11:44:27,63,43,Call Disconnected,No,No Foreign languages
2016-01-06 11:46:00,General,4,11:01-14:00,11:44:59,11:45:34,11:47:14,135,100,Full reply received,No,No Foreign languages
2016-01-06 11:48:00,Health,4,11:01-14:00,11:47:47,11:48:41,11:49:10,83,29,Full reply received,No,No Foreign languages
2016-01-06 11:51:00,Health,4,11:01-14:00,11:49:37,11:49:44,11:52:07,150,143,Full reply received,No,No Foreign languages
2016-01-06 11:52:00,General,4,11:01-14:00,11:52:31,11:53:12,11:53:20,49,8,Full reply received,No,No Foreign languages
2016-01-06 11:53:00,General,4,11:01-14:00,11:53:52,11:53:57,11:54:04,12,7,Full reply received,No,No Foreign languages
2016-01-06 11:55:00,General,4,11:01-14:00,11:54:56,11:55:13,11:56:08,72,55,Full reply received,No,No Foreign languages
2016-01-07 08:05:00,General,5,8:00-11:00,8:03:14,8:04:54,8:06:10,176,76,Full reply received,No,No Foreign languages
2016-01-07 08:09:00,General,5,8:00-11:00,8:07:15,8:08:06,8:09:24,129,78,Full reply received,No,No Foreign languages
2016-01-07 08:11:00,General,5,8:00-11:00,8:10:47,8:12:12,8:12:19,92,7,Full reply received,No,No Foreign languages
2016-01-07 08:16:00,Health,5,8:00-11:00,8:13:25,8:13:45,8:16:50,205,185,Full reply received,No,No Foreign languages
2016-01-07 08:18:00,General,5,8:00-11:00,8:17:43,8:18:41,8:18:48,65,7,Full reply received,No,No Foreign languages
2016-01-07 08:19:00,General,5,8:00-11:00,8:19:35,8:19:35,8:19:44,9,9,Full reply received,No,No Foreign languages
2016-01-07 08:21:00,Health,5,8:00-11:00,8:20:29,8:22:00,8:22:31,122,31,Full reply received,No,No Foreign languages
2016-01-07 08:22:00,General,5,8:00-11:00,8:23:09,8:23:09,8:23:22,13,13,Full reply received,No,No Foreign languages
2016-01-07 08:25:00,Health,5,8:00-11:00,8:24:00,8:24:22,8:25:55,115,93,Full reply received,No,No Foreign languages
2016-01-07 08:27:00,Life,5,8:00-11:00,8:26:46,8:27:33,8:28:13,87,40,Transferred to leave a message ,No,No Foreign languages
2016-01-07 08:31:00,General,5,8:00-11:00,8:29:30,8:30:43,8:31:39,129,56,Transferred to leave a message ,No,No Foreign languages
2016-01-07 08:35:00,General,5,8:00-11:00,8:32:24,8:33:12,8:36:25,241,193,Full reply received,No,Arabic; Russian; Amharic
2016-01-07 08:37:00,General,5,8:00-11:00,8:37:06,8:37:29,8:37:36,30,7,Full reply received,No,No Foreign languages
2016-01-07 08:40:00,Life,5,8:00-11:00,8:38:57,8:38:57,8:40:05,68,68,Full reply received,No,Arabic; Russian; Amharic;English
2016-01-07 08:41:00,Life,5,8:00-11:00,8:41:45,8:42:13,8:42:19,34,6,Full reply received,No,No Foreign languages
2016-01-07 08:44:00,General,5,8:00-11:00,8:43:23,8:44:48,8:44:55,92,7,Full reply received,No,No Foreign languages
2016-01-07 08:46:00,Health,5,8:00-11:00,8:45:36,8:46:42,8:47:11,95,29,Full reply received,No,No Foreign languages
2016-01-07 08:50:00,Life,5,8:00-11:00,8:48:13,8:49:12,8:50:44,151,92,Full reply received,Yes,Arabic; Russian; Amharic
2016-01-07 08:52:00,Life,5,8:00-11:00,8:51:36,8:52:35,8:52:53,77,18,Full reply received,Yes,Arabic; Russian; Amharic
2016-01-07 08:55:00,General,5,8:00-11:00,8:53:36,8:55:04,8:55:49,133,45,Full reply received,No,No Foreign languages
2016-01-07 09:01:00,General,5,8:00-11:00,9:01:24,9:02:06,9:02:13,49,7,Full reply received,No,No Foreign languages
2016-01-07 09:05:00,General,5,8:00-11:00,9:03:10,9:04:38,9:05:56,166,78,Full reply received,No,No Foreign languages
2016-01-07 09:07:00,General,5,8:00-11:00,9:06:42,9:07:57,9:08:04,82,7,Full reply received,No,No Foreign languages
2016-01-07 09:11:00,General,5,8:00-11:00,9:08:44,9:09:08,9:11:35,171,147,Full reply received,No,No Foreign languages
2016-01-07 09:13:00,General,5,8:00-11:00,9:12:19,9:13:33,9:13:40,81,7,Full reply received,No,No Foreign languages
2016-01-07 09:18:00,Health,5,8:00-11:00,9:15:42,9:16:42,9:18:40,178,118,Full reply received,No,No Foreign languages
2016-01-07 09:24:00,Life,5,8:00-11:00,9:19:24,9:19:24,9:25:09,345,345,Full reply received,Yes,No Foreign languages
2016-01-07 09:27:00,Health,5,8:00-11:00,9:26:08,9:27:35,9:28:06,118,31,Full reply received,No,No Foreign languages
2016-01-07 09:30:00,General,5,8:00-11:00,9:28:46,9:30:02,9:30:43,117,41,Transferred to leave a message ,No,No Foreign languages
2016-01-07 09:33:00,Life,5,8:00-11:00,9:31:23,9:31:50,9:33:58,155,128,Call Disconnected,No,No Foreign languages
2016-01-07 09:39:00,Life,5,8:00-11:00,9:37:13,9:38:44,9:40:06,173,82,Full reply received,No,No Foreign languages
2016-01-07 09:51:00,Health,5,8:00-11:00,9:40:53,9:41:45,9:52:00,667,615,Waited for more than 10 minutes and hang up,No,No Foreign languages
2016-01-07 10:01:00,Health,5,8:00-11:00,10:00:00,10:00:00,10:00:35,35,35,Full reply received,No,No Foreign languages
2016-01-07 10:14:00,Life,5,8:00-11:00,10:04:11,10:05:10,10:14:47,636,577,Full reply received,Yes,No Foreign languages
2016-01-07 10:16:00,Life,5,8:00-11:00,10:15:33,10:16:00,10:16:20,47,20,Full reply received,No,No Foreign languages
2016-01-07 10:18:00,General,5,8:00-11:00,10:17:47,10:18:36,10:18:40,53,4,Full reply received,No,No Foreign languages
2016-01-07 10:20:00,General,5,8:00-11:00,10:19:27,10:20:18,10:20:57,90,39,Full reply received,No,No Foreign languages
2016-01-07 10:25:00,Health,5,8:00-11:00,10:22:43,10:23:06,10:25:43,180,157,Full reply received,No,No Foreign languages
2016-01-07 10:30:00,Life,5,8:00-11:00,10:26:35,10:26:35,10:31:00,265,265,Full reply received,No,No Foreign languages
2016-01-07 10:31:00,Health,5,8:00-11:00,10:31:45,10:31:45,10:32:16,31,31,Full reply received,No,No Foreign languages
2016-01-07 10:34:00,General,5,8:00-11:00,10:33:13,10:34:42,10:34:46,93,4,Full reply received,No,No Foreign languages
2016-01-07 10:38:00,Health,5,8:00-11:00,10:35:56,10:37:19,10:38:10,134,51,Full reply received,No,No Foreign languages
2016-01-07 10:46:00,General,5,8:00-11:00,10:44:52,10:45:34,10:45:38,46,4,Full reply received,No,No Foreign languages
2016-01-07 11:11:00,Health,5,11:01-14:00,11:00:00,11:01:01,11:11:45,705,644,Waited for more than 10 minutes and hang up,Yes,No Foreign languages
2016-01-07 11:13:00,Life,5,11:01-14:00,11:12:28,11:13:28,11:14:18,110,50,Full reply received,No,No Foreign languages
2016-01-07 11:17:00,Life,5,11:01-14:00,11:15:10,11:16:12,11:17:42,152,90,Full reply received,No,Arabic; Russian; Amharic
2016-01-07 11:21:00,Life,5,11:01-14:00,11:18:30,11:19:16,11:21:00,150,104,Full reply received,Yes,No Foreign languages
2016-01-07 11:36:00,General,5,11:01-14:00,11:34:40,11:34:40,11:37:25,165,165,Full reply received,No,No Foreign languages
2016-01-07 11:46:00,Health,5,11:01-14:00,11:38:10,11:39:43,11:46:28,498,405,Full reply received,Yes,No Foreign languages
2016-01-07 11:48:00,General,5,11:01-14:00,11:47:20,11:48:22,11:48:48,88,26,Transferred to leave a message ,No,No Foreign languages
2016-01-07 12:01:00,Health,5,11:01-14:00,12:49:38,12:50:48,13:01:45,727,657,Waited for more than 10 minutes and hang up,Yes,No Foreign languages
2016-01-07 12:04:00,Life,5,11:01-14:00,12:02:56,12:03:52,12:04:56,120,64,Full reply received,No,No Foreign languages
2016-01-07 12:08:00,Health,5,11:01-14:00,12:05:41,12:06:04,12:09:11,210,187,Full reply received,No,No Foreign languages
2016-01-07 12:20:00,General,5,11:01-14:00,12:09:55,12:11:12,12:21:20,685,608,Waited for more than 10 minutes and hang up,Yes,No Foreign languages
2016-01-07 12:25:00,General,5,11:01-14:00,12:24:19,12:25:17,12:26:03,104,46,Full reply received,No,No Foreign languages
2016-01-07 13:08:00,General,5,11:01-14:00,13:04:36,13:05:55,13:08:43,247,168,Transferred to leave a message ,Yes,No Foreign languages
2016-01-07 13:18:00,Life,5,11:01-14:00,13:09:30,13:10:52,13:19:25,595,513,Full reply received,No,No Foreign languages
2016-01-07 13:21:00,General,5,11:01-14:00,13:20:08,13:21:29,13:22:36,148,67,Full reply received,No,No Foreign languages
2016-01-07 13:32:00,Life,5,11:01-14:00,13:23:16,13:24:36,13:32:38,562,482,Full reply received,Yes,No Foreign languages
2016-01-07 13:44:00,General,5,11:01-14:00,13:33:25,13:34:41,13:45:00,695,619,Waited for more than 10 minutes and hang up,No,No Foreign languages
2016-01-07 13:47:00,General,5,11:01-14:00,13:46:03,13:46:41,13:47:48,105,67,Full reply received,No,Arabic; Russian; Amharic
2016-01-07 13:54:00,General,5,11:01-14:00,13:51:03,13:51:22,13:55:21,258,239,Full reply received,No,No Foreign languages
2016-01-10 08:53:00,General,1,8:00-11:00,08:52:49,08:53:41,08:54:06,77,25,I was obliged to leave a message,No,No foreign languages
2016-01-10 09:04:00,General,1,8:00-11:00,09:01:38,09:01:56,09:02:17,39,21,Full reply received,No,No Foreign languages
2016-01-10 09:05:00,Health,1,8:00-11:00,09:05:49,09:06:16,09:06:24,35,8,Full reply received,No,No Foreign languages
2016-01-10 09:07:00,General,1,8:00-11:00,09:07:08,09:07:50,09:07:57,49,7,Full reply received,No,No Foreign languages
2016-01-10 09:16:00,General,1,8:00-11:00,09:15:37,09:16:15,09:16:28,51,13,Full reply received,No,No Foreign languages
2016-01-10 09:17:00,Health,1,8:00-11:00,09:17:32,09:18:00,09:18:06,34,6,Full reply received,No,No Foreign languages
2016-01-10 09:19:00,General,1,8:00-11:00,09:18:46,09:19:48,09:20:30,104,42,Full reply received,No,No Foreign languages
2016-01-10 09:22:00,General,1,8:00-11:00,09:20:52,09:21:36,09:23:07,135,91,Full reply received,No,No Foreign languages
2016-01-10 09:24:00,Life,1,8:00-11:00,09:23:58,09:25:14,09:25:23,85,9,Full reply received,No,No Foreign languages
2016-01-10 09:26:00,Life,1,8:00-11:00,09:26:15,09:26:56,09:27:26,71,30,Full reply received,No,No Foreign languages
2016-01-10 09:29:00,Life,1,8:00-11:00,09:28:41,09:29:54,09:30:20,99,26,Full reply received,No,No Foreign languages
2016-01-10 09:40:00,General,1,8:00-11:00,09:31:03,09:32:19,09:41:06,603,527,Waited for more than 10 minutes and hang up,No,No Foreign languages
2016-01-10 09:41:00,Life,1,8:00-11:00,09:41:46,09:42:33,09:42:53,67,20,Full reply received,No,No Foreign languages
2016-01-10 09:56:00,Life,1,8:00-11:00,09:51:42,09:53:55,09:57:05,323,190,Full reply received,No,Arabic; Russian; Amharic;English
2016-01-10 09:57:00,Life,1,8:00-11:00,09:57:33,09:57:53,09:58:30,57,37,Full reply received,No,No Foreign languages
2016-01-10 09:59:00,Health,1,8:00-11:00,09:59:24,09:59:58,10:00:18,54,20,Full reply received,No,No Foreign languages
2016-01-10 10:01:00,Health,1,8:00-11:00,10:00:50,10:01:38,10:01:59,69,21,Full reply received,No,No Foreign languages
2016-01-10 10:05:00,General,1,8:00-11:00,10:05:43,10:06:03,10:06:11,28,8,Full reply received,No,No Foreign languages
2016-01-10 10:10:00,Health,1,8:00-11:00,10:07:27,10:08:30,10:11:09,222,159,Full reply received,No,No Foreign languages
2016-01-10 10:12:00,Health,1,8:00-11:00,10:12:11,10:12:49,10:12:58,47,9,Full reply received,No,No Foreign languages
2016-01-10 10:16:00,Health,1,8:00-11:00,10:3:38,10:4:23,10:16:58,800,755,Full reply received,No,Arabic; Russian; Amharic
2016-01-10 10:18:00,Life,1,8:00-11:00,10:17:25,10:18:30,10:19:40,135,70,Full reply received,No,No Foreign languages
2016-01-10 10:20:00,General,1,8:00-11:00,10:20:05,10:20:43,10:21:20,75,37,Full reply received,No,No Foreign languages
2016-01-10 10:24:00,Life,1,8:00-11:00,10:21:56,10:23:05,10:24:29,153,84,Full reply received,Yes,Arabic; Russian; Amharic
2016-01-10 10:27:00,Life,1,8:00-11:00,10:26:08,10:26:49,10:27:59,111,70,Full reply received,No,No Foreign languages
2016-01-10 10:30:00,General,1,8:00-11:00,10:30:40,10:30:58,10:31:09,29,11,Full reply received,No,No Foreign languages
2016-01-10 10:32:00,Life,1,8:00-11:00,10:32:11,10:32:50,10:33:08,57,18,Full reply received,No,No Foreign languages
2016-01-10 10:38:00,Health,1,8:00-11:00,10:34:55,10:35:03,10:39:11,256,248,Full reply received,No,No Foreign languages
2016-01-10 10:45:00,Life,1,8:00-11:00,10:40:14,10:40:26,10:45:59,345,333,Full reply received,No,No Foreign languages
2016-01-10 10:48:00,Life,1,8:00-11:00,10:46:27,10:48:56,10:49:10,163,14,Full reply received,No,English
2016-01-10 10:50:00,General,1,8:00-11:00,10:49:57,10:50:17,10:51:38,101,81,Full reply received,No,No Foreign languages
2016-01-10 10:52:00,Health,1,8:00-11:00,10:52:07,10:53:01,10:53:51,104,50,Full reply received,No,No Foreign languages
2016-01-10 10:58:00,Life,1,8:00-11:00,10:54:24,10:55:28,10:59:21,297,233,Full reply received,Yes,Arabic; Russian; Amharic
2016-01-10 10:59:00,General,1,8:00-11:00,10:59:53,11:00:19,11:00:28,35,9,Full reply received,No,No Foreign languages
